错误码,备注,值

ErrSendInnerMsg,发送内部消息错误,300
ErrInnerMsgTimeout,内部消息超时,301
ErrServerNotFound,服务器没有找到,302
ErrMincroServerNotFound,服务没有找到,303
ErrContainsSensitiveWord,名字中存在敏感词句,304

ErrDivZero,除0错误,400
ErrGamerLevelNotEnough,玩家等级不足,401

ErrAuthSession,session错误,1001
ErrAuthNameRepeated,用户名重复,1002
ErrAuthUserNotFound,用户没有找到,1003
ErrAuthPasswdErr,密码错误,1004
ErrAuthChannelNotFound,渠道没有找到,1005
ErrAuthRoleNotFound,角色没有找到,1006
ErrAuthAreaNotFound,区服没有找到,1007
ErrAuthGetRole,获取角色数据出错,1008
ErrAuthAreaClose,区服未开服,1009
ErrAuthRoleNameMaxLength,注册名字超出最大长度,1010
ErrAuthRoleNameMinLength,注册名字过短,1011
ErrAuthLoginBan,封号无法登陆,1012
ErrAuthAreaRoleExist,该区服已有角色,1013
ErrAuthLoginVersion,登录版本错误,1014
ErrAuthLoginTooFast,登陆过于频繁,1015


ErrLoginNeed,需要登陆,2001
ErrLoginRepeated,重复登陆,2002
ErrLoginSession,session错误,2003
ErrLoginReConnSession,重连session不等于数据库mainsession,2004


ErrFriendCountReachedMax,达到好友数量上限,3001
ErrFriendAlready,已经是好友,3002
ErrFriendReqruestNameIsNull,好友请求名字为空,3003
ErrFriendRequestFailed,好友请求失败,3004
ErrFriendRequestNotDeal,好友请求通知未处理,3005
ErrFriendRequestsNotExistIn,不存在此好友请求,3006
ErrFriendAddNewErr,添加新好友失败,3007
ErrFriendRequestCountReachedMax,对方好友请求达到上限,3008
ErrFriendNotExist,好友不存在,3009
ErrFriendRequestExist,好友请求已存在,3010
ErrFriendRequestClearFail,清空好友请求失败,3011
ErrFriendDelFail,删除好友失败,3012
ErrInPeerBlackList,在对方黑名单中,3013
ErrChatCountReachedMax,聊天数量上限,3014

ErrMatchTypeNotFound,匹配模式未找到,4001


ErrLeagueNameRepeated,联盟名字重复,5001
ErrInLeague,已经在联盟中,5002
ErrNotEnoughMoney,资金不足,5003
ErrPreConditionNotEnough,前置条件不足,5004

ErrBuildNeedBreakUp,建筑需要突破,5101
ErrBuildNotNeedBreakUp,建筑无需突破,5102
ErrCanNotFoundBuild,找不到建筑,5103
ErrCanNotFoundConfig,找不到配置,5104
ErrBuildLevelNotEnough,建筑等级不足,5105

ErrPVPSession,session错误,10001

ErrItemCannotSell,物品不可以出售,20001
ErrItemCannotExit,物品不存在,20002
ErrItemNumNotEnough,物品数量不足,20003
ErrItemCannotUse,物品不可以使用,20004
ErrItemCannotAdd,物品不可以放入背包,20005
ErrItemCannotCompound,物品不可以合成,20006
ErrItemCannotSplit,物品不可以拆分,20007
ErrBackpackCapacityNotEnough,背包容量不足,20008

ErrMailPara,邮件参数错误,30001
ErrMailAdd,邮件添加失败,30002
ErrMailDel,邮件删除失败,30003
ErrMailNotExist,邮件不存在,30004
ErrMailState,修改邮件状态错误,30005
ErrMailNoReward,该邮件无奖励可以领取,30006
ErrMailOneKeyReward,一键领取奖励失败,30007
ErrMailHaveExist,邮件已存在,30008
ErrMailConfigNotExist,邮件配置不存在,30009

ErrActorPara,艺人参数错误,40001
ErrActorAdd,艺人添加失败,40002
ErrActorDel,艺人删除失败,40003
ErrActorNotExit,艺人不存在,40004
ErrActorChangeName,修改艺人名字失败,40005
ErrActorCannotUpLevel,艺人不可以升级,40006
ErrActorChangeState,修改艺人状态失败,40007

ErrIntelligencePara,情报参数错误,50001
ErrIntelligenceAdd,情报添加失败,50002
ErrIntelligenceDel,情报删除失败,50003
ErrIntelligenceNotExit,情报不存在,50004
ErrIntelligenceChangeName,修改情报名字失败,50005
ErrIntelligenceCannotUpLevel,情报不可以升级,50006
ErrIntelligenceChangeState,修改情报状态失败,50007
ErrIntelligenceNum,情报数量错误,50008
ErrIntelligenceRepeate,情报重复,50009
ErrIntelligenceMultiOption,情报多选错误,50010
ErrIntelligenceExtractNum,情报宝箱抽取次数不足,50011

ErrGashaponPara,抽奖参数错误,60001